1624906369.916954s 116.95ms | mys [80 120]ms | c 0 | 000.000ms | 01pkts | hdr [00 0.48 40]ms 1/3 | Rq 00ms | s# 0103000001 | [#01]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624906370.037436s 117.43ms | mys [80 120]ms | c 0 | 000.000ms | 01pkts | hdr [00 0.73 40]ms 1/3 | Rq 00ms | s# 0103000002 | [#01]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624906370.157292s 117.29ms | mys [80 120]ms | c 0 | 000.000ms | 01pkts | hdr [00 0.63 40]ms 1/3 | Rq 00ms | s# 0103000003 | [#01]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624906370.277262s 117.26ms | mys [80 120]ms | c 0 | 000.000ms | 01pkts | hdr [00 0.58 40]ms 1/3 | Rq 00ms | s# 0103000004 | [#01]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624906370.397479s 117.47ms | mys [80 120]ms | c 0 | 000.000ms | 01pkts | hdr [00 0.79 40]ms 1/3 | Rq 00ms | s# 0103000005 | [#01]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624906370.423040s 23.04ms | mys [80 120]ms | c 0 | 000.000ms | 01pkts | hdr [40 40.81 80]ms 2/3 | Rq 00ms | s# 0203000001 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624906370.517532s 117.53ms | mys [80 120]ms | c 0 | 000.000ms | 01pkts | hdr [00 0.63 40]ms 1/3 | Rq 00ms | s# 0103000006 | [#01]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624906370.542878s 22.87ms | mys [80 120]ms | c 0 | 000.000ms | 01pkts | hdr [40 40.68 80]ms 2/3 | Rq 00ms | s# 0203000002 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624906370.637315s 117.31ms | mys [80 120]ms | c 0 | 000.000ms | 01pkts | hdr [00 0.60 40]ms 1/3 | Rq 00ms | s# 0103000007 | [#01]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624906370.662890s 22.89ms | mys [80 120]ms | c 0 | 000.000ms | 01pkts | hdr [40 40.62 80]ms 2/3 | Rq 00ms | s# 0203000003 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624906370.757295s 117.29ms | mys [80 120]ms | c 0 | 000.000ms | 01pkts | hdr [00 0.59 40]ms 1/3 | Rq 00ms | s# 0103000008 | [#01]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624906370.783159s 23.16ms | mys [80 120]ms | c 0 | 000.000ms | 01pkts | hdr [40 40.62 80]ms 2/3 | Rq 00ms | s# 0203000004 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624906370.877388s 117.38ms | mys [80 120]ms | c 0 | 000.000ms | 01pkts | hdr [00 0.63 40]ms 1/3 | Rq 00ms | s# 0103000009 | [#01]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624906370.902782s 22.78ms | mys [80 120]ms | c 1 | 000.000ms | 01pkts | hdr [40 40.57 80]ms 2/3 | Rq 00ms | s# 0203000005 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624906370.997725s 117.72ms | mys [80 00]ms | c 1 | 000.000ms | 01pkts | hdr [00 0.86 40]ms 1/3 | Rq 00ms | s# 0103000010 | [#01]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624906371.022813s 22.81ms | mys [80 00]ms | c 2 | 000.000ms | 01pkts | hdr [40 40.63 80]ms 2/3 | Rq 00ms | s# 0203000006 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624906371.117325s 117.32ms | mys [80 00]ms | c 2 | 000.000ms | 01pkts | hdr [00 0.61 40]ms 1/3 | Rq 00ms | s# 0103000011 | [#01]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624906371.142763s 22.76ms | mys [80 00]ms | c 3 | 000.000ms | 01pkts | hdr [40 40.51 80]ms 2/3 | Rq 00ms | s# 0203000007 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624906371.237980s 117.98ms | mys [80 00]ms | c 3 | 000.000ms | 01pkts | hdr [00 0.87 40]ms 1/3 | Rq 00ms | s# 0103000012 | [#01]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1624906371.262832s 22.83ms | mys [80 00]ms | c 4 | 000.000ms | 01pkts | hdr [40 40.61 80]ms 2/3 | Rq 00ms | s# 0203000008 | [#02]->[#03] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
