1.416917s 16.92ms | mys [25 50]ms | c 1 | 000.000ms | 01pkts | hdr [00 0.00 25]ms 1/4 | Rq 00ms | s# 0102000001 | [#01]->[#02] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1.516920s 16.92ms | mys [25 50]ms | c 2 | 000.000ms | 01pkts | hdr [00 0.01 25]ms 1/4 | Rq 00ms | s# 0102000002 | [#01]->[#02] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1.593580s 93.58ms | mys [25 50]ms | c 3 | 000.000ms | 01pkts | hdr [50 50.02 75]ms 3/4 | Rq 00ms | s# 0302000001 | [#03]->[#02] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1.616917s 16.92ms | mys [25 50]ms | c 3 | 000.000ms | 01pkts | hdr [00 0.01 25]ms 1/4 | Rq 00ms | s# 0102000003 | [#01]->[#02] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1.660395s 60.39ms | mys [25 50]ms | c 4 | 000.000ms | 01pkts | hdr [75 76.21 00]ms 4/4 | Rq 00ms | s# 0402000001 | [#04]->[#02] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1.693616s 93.62ms | mys [25 50]ms | c 4 | 000.000ms | 01pkts | hdr [50 50.01 75]ms 3/4 | Rq 00ms | s# 0302000002 | [#03]->[#02] | T 4 | 0054B | D 43ms | Bw 0.0Bps | pms# 0
1.717915s 17.91ms | mys [25 50]ms | c 4 | 000.000ms | 01pkts | hdr [01 1.00 26]ms 1/4 | Rq 00ms | s# 0102000004 | [#01]->[#02] | T 4 | 0054B | D 17ms | Bw 0.0Bps | pms# 0
1.763600s 63.60ms | mys [26 51]ms | c 5 | 000.000ms | 01pkts | hdr [75 79.21 00]ms 4/4 | Rq 00ms | s# 0402000002 | [#04]->[#02] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1.793874s 93.87ms | mys [26 51]ms | c 5 | 000.000ms | 01pkts | hdr [50 50.01 75]ms 3/4 | Rq 00ms | s# 0302000003 | [#03]->[#02] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1.818914s 18.91ms | mys [26 51]ms | c 5 | 000.000ms | 01pkts | hdr [02 2.00 27]ms 1/4 | Rq 00ms | s# 0102000005 | [#01]->[#02] | T 4 | 0054B | D 17ms | Bw 0.0Bps | pms# 0
1.866863s 66.86ms | mys [27 52]ms | c 6 | 000.000ms | 01pkts | hdr [76 82.68 01]ms 4/4 | Rq 00ms | s# 0402000003 | [#04]->[#02] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1.893841s 93.84ms | mys [27 52]ms | c 6 | 000.000ms | 01pkts | hdr [50 50.02 75]ms 3/4 | Rq 00ms | s# 0302000004 | [#03]->[#02] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1.919912s 19.91ms | mys [27 52]ms | c 6 | 000.000ms | 01pkts | hdr [03 3.00 28]ms 1/4 | Rq 00ms | s# 0102000006 | [#01]->[#02] | T 4 | 0054B | D 17ms | Bw 0.0Bps | pms# 0
1.969418s 69.42ms | mys [28 53]ms | c 7 | 000.000ms | 01pkts | hdr [77 85.23 02]ms 4/4 | Rq 00ms | s# 0402000004 | [#04]->[#02] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
1.993622s 93.62ms | mys [28 53]ms | c 7 | 000.000ms | 01pkts | hdr [50 50.02 75]ms 3/4 | Rq 00ms | s# 0302000005 | [#03]->[#02] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
2.020915s 20.91ms | mys [28 53]ms | c 7 | 000.000ms | 01pkts | hdr [04 4.00 29]ms 1/4 | Rq 00ms | s# 0102000007 | [#01]->[#02] | T 4 | 0054B | D 17ms | Bw 0.0Bps | pms# 0
2.072431s 72.43ms | mys [29 54]ms | c 8 | 000.000ms | 01pkts | hdr [77 88.24 02]ms 4/4 | Rq 00ms | s# 0402000005 | [#04]->[#02] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
2.093783s 93.78ms | mys [29 54]ms | c 8 | 000.000ms | 01pkts | hdr [50 50.01 75]ms 3/4 | Rq 00ms | s# 0302000006 | [#03]->[#02] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
2.121915s 21.92ms | mys [29 54]ms | c 8 | 000.000ms | 01pkts | hdr [05 5.00 30]ms 1/4 | Rq 00ms | s# 0102000008 | [#01]->[#02] | T 4 | 0054B | D 17ms | Bw 0.0Bps | pms# 0
2.175444s 75.44ms | mys [30 55]ms | c 9 | 000.000ms | 01pkts | hdr [78 91.26 03]ms 4/4 | Rq 00ms | s# 0402000006 | [#04]->[#02] | T 4 | 0054B | D 00ms | Bw 0.0Bps | pms# 0
