1.719135s 39.13ms | mys [40 80]ms | c 1 | 000.000ms | 01pkts | hdr [00 0.01 40]ms 1/3 | Rq 00ms | s# 0102000001 | [#01]->[#02] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1.839133s 39.13ms | mys [40 80]ms | c 2 | 000.000ms | 01pkts | hdr [00 0.00 40]ms 1/3 | Rq 00ms | s# 0102000002 | [#01]->[#02] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1.928187s 8.19ms | mys [40 80]ms | c 3 | 000.000ms | 01pkts | hdr [80 81.01 120]ms 3/3 | Rq 00ms | s# 0302000001 | [#03]->[#02] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
1.959132s 39.13ms | mys [40 80]ms | c 3 | 000.000ms | 01pkts | hdr [00 0.00 40]ms 1/3 | Rq 00ms | s# 0102000003 | [#01]->[#02] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
2.048185s 8.19ms | mys [40 80]ms | c 4 | 000.000ms | 01pkts | hdr [80 81.01 120]ms 3/3 | Rq 00ms | s# 0302000002 | [#03]->[#02] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
2.079133s 39.13ms | mys [40 80]ms | c 4 | 000.000ms | 01pkts | hdr [00 0.00 40]ms 1/3 | Rq 00ms | s# 0102000004 | [#01]->[#02] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
2.168191s 8.19ms | mys [40 80]ms | c 5 | 000.000ms | 01pkts | hdr [80 81.00 120]ms 3/3 | Rq 00ms | s# 0302000003 | [#03]->[#02] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
2.199129s 39.13ms | mys [40 80]ms | c 5 | 000.000ms | 01pkts | hdr [00 0.00 40]ms 1/3 | Rq 00ms | s# 0102000005 | [#01]->[#02] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
2.288191s 8.19ms | mys [40 80]ms | c 6 | 000.000ms | 01pkts | hdr [80 81.01 120]ms 3/3 | Rq 00ms | s# 0302000004 | [#03]->[#02] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
2.319133s 39.13ms | mys [40 80]ms | c 6 | 000.000ms | 01pkts | hdr [00 0.00 40]ms 1/3 | Rq 00ms | s# 0102000006 | [#01]->[#02] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
2.408408s 8.41ms | mys [40 80]ms | c 7 | 000.000ms | 01pkts | hdr [80 81.16 120]ms 3/3 | Rq 00ms | s# 0302000005 | [#03]->[#02] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
2.439130s 39.13ms | mys [40 80]ms | c 7 | 000.000ms | 01pkts | hdr [00 0.00 40]ms 1/3 | Rq 00ms | s# 0102000007 | [#01]->[#02] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
2.528182s 8.18ms | mys [40 80]ms | c 8 | 000.000ms | 01pkts | hdr [80 81.00 120]ms 3/3 | Rq 00ms | s# 0302000006 | [#03]->[#02] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
2.559130s 39.13ms | mys [40 80]ms | c 8 | 000.000ms | 01pkts | hdr [00 0.00 40]ms 1/3 | Rq 00ms | s# 0102000008 | [#01]->[#02] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
2.648371s 8.37ms | mys [40 80]ms | c 9 | 000.000ms | 01pkts | hdr [80 81.19 120]ms 3/3 | Rq 00ms | s# 0302000007 | [#03]->[#02] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
2.679132s 39.13ms | mys [40 80]ms | c 9 | 000.000ms | 00pkts | hdr [00 0.00 40]ms 1/3 | Rq 00ms | s# 0102000009 | [#01]->[#02] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
2.768185s 8.18ms | mys [40 80]ms | c 10 | 000.000ms | 01pkts | hdr [80 81.01 120]ms 3/3 | Rq 00ms | s# 0302000008 | [#03]->[#02] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
2.799129s 39.13ms | mys [40 80]ms | c 10 | 000.000ms | 01pkts | hdr [00 0.00 40]ms 1/3 | Rq 00ms | s# 0102000010 | [#01]->[#02] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
2.888185s 8.18ms | mys [40 80]ms | c 11 | 000.000ms | 00pkts | hdr [80 81.00 120]ms 3/3 | Rq 00ms | s# 0302000009 | [#03]->[#02] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
2.919131s 39.13ms | mys [40 80]ms | c 11 | 000.000ms | 01pkts | hdr [00 0.00 40]ms 1/3 | Rq 00ms | s# 0102000011 | [#01]->[#02] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
3.008181s 8.18ms | mys [40 80]ms | c 12 | 000.000ms | 01pkts | hdr [80 81.00 120]ms 3/3 | Rq 00ms | s# 0302000010 | [#03]->[#02] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
3.128188s 8.19ms | mys [40 80]ms | c 13 | 000.000ms | 01pkts | hdr [80 81.00 120]ms 3/3 | Rq 00ms | s# 0302000011 | [#03]->[#02] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
3.248190s 8.19ms | mys [40 80]ms | c 14 | 000.000ms | 01pkts | hdr [80 81.01 120]ms 3/3 | Rq 00ms | s# 0302000012 | [#03]->[#02] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
3.368188s 8.19ms | mys [40 80]ms | c 15 | 000.000ms | 01pkts | hdr [80 81.01 120]ms 3/3 | Rq 00ms | s# 0302000013 | [#03]->[#02] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
3.488190s 8.19ms | mys [40 80]ms | c 16 | 000.000ms | 01pkts | hdr [80 81.01 120]ms 3/3 | Rq 00ms | s# 0302000014 | [#03]->[#02] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
3.608190s 8.19ms | mys [40 80]ms | c 17 | 000.000ms | 01pkts | hdr [80 81.01 120]ms 3/3 | Rq 00ms | s# 0302000015 | [#03]->[#02] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
3.728181s 8.18ms | mys [40 80]ms | c 18 | 000.000ms | 01pkts | hdr [80 81.00 120]ms 3/3 | Rq 00ms | s# 0302000016 | [#03]->[#02] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
3.848189s 8.19ms | mys [40 80]ms | c 19 | 000.000ms | 00pkts | hdr [80 81.01 120]ms 3/3 | Rq 00ms | s# 0302000017 | [#03]->[#02] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
3.968186s 8.19ms | mys [40 80]ms | c 20 | 000.000ms | 01pkts | hdr [80 81.00 120]ms 3/3 | Rq 00ms | s# 0302000018 | [#03]->[#02] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
4.088186s 8.19ms | mys [40 80]ms | c 21 | 000.000ms | 01pkts | hdr [80 81.00 120]ms 3/3 | Rq 00ms | s# 0302000019 | [#03]->[#02] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
