2.000009s 80.01ms | mys [80 120]ms | c 2 | 000.006ms | 00pkts | hdr [80 80.00 120]ms 3/3 | Rq 00ms | s# 0301000001 | [#03]->[#01] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
2.001010s 81.01ms | mys [80 120]ms | c 2 | 000.002ms | 00pkts | hdr [80 81.01 120]ms 3/3 | Rq 00ms | s# 0302000001 | [#03]->[#02] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
2.120010s 80.01ms | mys [80 120]ms | c 3 | 000.004ms | 00pkts | hdr [80 80.00 120]ms 3/3 | Rq 00ms | s# 0301000002 | [#03]->[#01] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
2.121010s 81.01ms | mys [80 120]ms | c 3 | 000.002ms | 00pkts | hdr [80 81.01 120]ms 3/3 | Rq 00ms | s# 0302000002 | [#03]->[#02] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
2.240008s 80.01ms | mys [80 120]ms | c 4 | 000.005ms | 00pkts | hdr [80 80.00 120]ms 3/3 | Rq 00ms | s# 0301000003 | [#03]->[#01] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
2.241007s 81.01ms | mys [80 120]ms | c 4 | 000.003ms | 00pkts | hdr [80 81.00 120]ms 3/3 | Rq 00ms | s# 0302000003 | [#03]->[#02] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
2.360009s 80.01ms | mys [80 120]ms | c 5 | 000.004ms | 00pkts | hdr [80 80.00 120]ms 3/3 | Rq 00ms | s# 0301000004 | [#03]->[#01] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
2.361011s 81.01ms | mys [80 120]ms | c 5 | 000.002ms | 00pkts | hdr [80 81.01 120]ms 3/3 | Rq 00ms | s# 0302000004 | [#03]->[#02] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
2.480004s 80.00ms | mys [80 120]ms | c 6 | 000.003ms | 00pkts | hdr [80 80.00 120]ms 3/3 | Rq 00ms | s# 0301000005 | [#03]->[#01] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
2.481168s 81.17ms | mys [80 120]ms | c 6 | 000.163ms | 00pkts | hdr [80 81.16 120]ms 3/3 | Rq 00ms | s# 0302000005 | [#03]->[#02] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
2.600005s 80.00ms | mys [80 120]ms | c 7 | 000.004ms | 00pkts | hdr [80 80.00 120]ms 3/3 | Rq 00ms | s# 0301000006 | [#03]->[#01] | T 260 | 0042B | D 00ms | Bw 0.0Bps | pms# 0
