eventid init_us end_us type
<id001> #1->#1. Wnd[300000-375000]us. Type ESENSOR
<id004> #1->#1. Wnd[300000-375100]us. Type ISENSOR
<id002> #2->#2. Wnd[300000-450000]us. Type ESENSOR
<id005> #2->#2. Wnd[300000-450100]us. Type ISENSOR
<id003> #3->#3. Wnd[300000-525000]us. Type ESENSOR
<id006> #3->#3. Wnd[300000-525100]us. Type ISENSOR
<id007> #1->#1. Wnd[600000-675000]us. Type ESENSOR
<id010> #1->#1. Wnd[600000-675100]us. Type ISENSOR
<id008> #2->#2. Wnd[600000-750000]us. Type ESENSOR
<id011> #2->#2. Wnd[600000-750100]us. Type ISENSOR
<id009> #3->#3. Wnd[600000-825000]us. Type ESENSOR
<id012> #3->#3. Wnd[600000-825100]us. Type ISENSOR
<id013> #1->#1. Wnd[900000-975000]us. Type ESENSOR
<id016> #1->#1. Wnd[900000-975100]us. Type ISENSOR
<id014> #2->#2. Wnd[900000-1050000]us. Type ESENSOR
<id017> #2->#2. Wnd[900000-1050100]us. Type ISENSOR
<id015> #3->#3. Wnd[900000-1125000]us. Type ESENSOR
<id018> #3->#3. Wnd[900000-1125100]us. Type ISENSOR
<id019> #1->#1. Wnd[1200000-1275000]us. Type ESENSOR
<id022> #1->#1. Wnd[1200000-1275100]us. Type ISENSOR
<id020> #2->#2. Wnd[1200000-1350000]us. Type ESENSOR
<id023> #2->#2. Wnd[1200000-1350100]us. Type ISENSOR
<id021> #3->#3. Wnd[1200000-1425000]us. Type ESENSOR
<id024> #3->#3. Wnd[1200000-1425100]us. Type ISENSOR
<id025> #1->#1. Wnd[1500000-1575000]us. Type ESENSOR
<id028> #1->#1. Wnd[1500000-1575100]us. Type ISENSOR
<id026> #2->#2. Wnd[1500000-1650000]us. Type ESENSOR
<id029> #2->#2. Wnd[1500000-1650100]us. Type ISENSOR
<id027> #3->#3. Wnd[1500000-1725000]us. Type ESENSOR
<id030> #3->#3. Wnd[1500000-1725100]us. Type ISENSOR
<id031> #1->#2. Wnd[1727393-1727526]us. Type 80211
<id031> #1->#2. Wnd[1727393-1727526]us. Type 80211
<id032> #1->#3. Wnd[1728398-1728531]us. Type 80211
<id032> #1->#3. Wnd[1728398-1728531]us. Type 80211
<id039> #1->#2. Wnd[1847391-1847524]us. Type 80211
<id039> #1->#2. Wnd[1847391-1847524]us. Type 80211
<id040> #1->#3. Wnd[1848388-1848521]us. Type 80211
<id040> #1->#3. Wnd[1848388-1848521]us. Type 80211
<id041> #2->#1. Wnd[1848541-1848674]us. Type 80211
<id041> #2->#1. Wnd[1848541-1848674]us. Type 80211
<id042> #2->#3. Wnd[1849417-1849550]us. Type 80211
<id042> #2->#3. Wnd[1849417-1849550]us. Type 80211
<id033> #1->#1. Wnd[1800000-1875000]us. Type ESENSOR
<id036> #1->#1. Wnd[1800000-1875100]us. Type ISENSOR
<id043> #3->#1. Wnd[1935445-1935578]us. Type 80211
<id043> #3->#1. Wnd[1935445-1935578]us. Type 80211
<id044> #3->#2. Wnd[1936444-1936577]us. Type 80211
<id044> #3->#2. Wnd[1936444-1936577]us. Type 80211
<id034> #2->#2. Wnd[1800000-1950000]us. Type ESENSOR
<id037> #2->#2. Wnd[1800000-1950100]us. Type ISENSOR
<id045> #1->#2. Wnd[1967389-1967522]us. Type 80211
<id045> #1->#2. Wnd[1967389-1967522]us. Type 80211
<id046> #1->#3. Wnd[1968393-1968526]us. Type 80211
<id047> #2->#1. Wnd[1968400-1968533]us. Type 80211
<id046> #1->#3. Wnd[1968393-1968526]us. Type 80211
<id047> #2->#1. Wnd[1968599-1968732]us. Type 80211
<id048> #2->#3. Wnd[1969406-1969539]us. Type 80211
<id048> #2->#3. Wnd[1969406-1969539]us. Type 80211
<id035> #3->#3. Wnd[1800000-2025000]us. Type ESENSOR
<id038> #3->#3. Wnd[1800000-2025100]us. Type ISENSOR
<id049> #3->#1. Wnd[2055445-2055578]us. Type 80211
<id049> #3->#1. Wnd[2055445-2055578]us. Type 80211
<id050> #3->#2. Wnd[2056442-2056575]us. Type 80211
<id050> #3->#2. Wnd[2056442-2056575]us. Type 80211
<id051> #1->#2. Wnd[2087390-2087523]us. Type 80211
<id051> #1->#2. Wnd[2087390-2087523]us. Type 80211
<id052> #2->#1. Wnd[2088402-2088535]us. Type 80211
<id053> #1->#3. Wnd[2088534-2088667]us. Type 80211
<id052> #2->#1. Wnd[2088402-2088535]us. Type 80211
<id053> #1->#3. Wnd[2088563-2088696]us. Type 80211
<id054> #2->#3. Wnd[2089406-2089539]us. Type 80211
<id054> #2->#3. Wnd[2089406-2089539]us. Type 80211
<id055> #1->#1. Wnd[2100000-2175000]us. Type ESENSOR
<id058> #1->#1. Wnd[2100000-2175100]us. Type ISENSOR
<id061> #3->#1. Wnd[2175443-2175576]us. Type 80211
<id061> #3->#1. Wnd[2175443-2175576]us. Type 80211
<id062> #3->#2. Wnd[2176442-2176575]us. Type 80211
<id062> #3->#2. Wnd[2176442-2176575]us. Type 80211
<id063> #1->#2. Wnd[2207385-2207518]us. Type 80211
<id063> #1->#2. Wnd[2207385-2207518]us. Type 80211
<id064> #1->#3. Wnd[2208392-2208525]us. Type 80211
<id064> #1->#3. Wnd[2208392-2208525]us. Type 80211
<id065> #2->#1. Wnd[2208543-2208676]us. Type 80211
<id065> #2->#1. Wnd[2208543-2208676]us. Type 80211
<id066> #2->#3. Wnd[2209404-2209537]us. Type 80211
<id066> #2->#3. Wnd[2209404-2209537]us. Type 80211
<id056> #2->#2. Wnd[2100000-2250000]us. Type ESENSOR
<id059> #2->#2. Wnd[2100000-2250100]us. Type ISENSOR
<id067> #3->#1. Wnd[2295443-2295576]us. Type 80211
<id067> #3->#1. Wnd[2295443-2295576]us. Type 80211
<id068> #3->#2. Wnd[2296447-2296580]us. Type 80211
<id068> #3->#2. Wnd[2296447-2296580]us. Type 80211
